npi,communityId,from_npi,providername,grouping,classification,specialization,to_npi,organization_name,patient_count,transaction_count,average_day_wait,std_day_wait,specialization_cleaned
1508916586,1336,1508916586,PHILIP HUNT,Allopathic & Osteopathic Physicians,Family Medicine,,1417938846,"MACON COUNTY GENERAL HOSPITAL, INC.",149,339,15.693,34.033,Family Medicine
1508916586,1336,1508916586,PHILIP HUNT,Allopathic & Osteopathic Physicians,Family Medicine,,1447571658,SUMNER REGIONAL MEDICAL CENTER LLC,58,87,30.713,44.24,Family Medicine
1508935776,1336,1508935776,STANLEY CHUNN,Allopathic & Osteopathic Physicians,Internal Medicine,,1417938846,"MACON COUNTY GENERAL HOSPITAL, INC.",245,586,14.616,33.767,Internal Medicine
1508935776,1336,1508935776,STANLEY CHUNN,Allopathic & Osteopathic Physicians,Internal Medicine,,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,32,51,45.137,52.085,Internal Medicine
1508935776,1336,1508935776,STANLEY CHUNN,Allopathic & Osteopathic Physicians,Internal Medicine,,1447571658,SUMNER REGIONAL MEDICAL CENTER LLC,69,102,36.804,44.981,Internal Medicine
1508961996,1359,1508961996,JAMES AMLICKE,Allopathic & Osteopathic Physicians,Internal Medicine,Cardiovascular Disease,1023055126,"HCA HEALTH SERVICES OF TENNESSEE, INC.",47,52,40.808,61.501,Cardiovascular Disease
1508961996,1359,1508961996,JAMES AMLICKE,Allopathic & Osteopathic Physicians,Internal Medicine,Cardiovascular Disease,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,93,116,45.931,50.487,Cardiovascular Disease
1518014323,1340,1518014323,JACOB DEXHEIMER,Allopathic & Osteopathic Physicians,Internal Medicine,,1023055126,"HCA HEALTH SERVICES OF TENNESSEE, INC.",397,791,0.039,0.246,Internal Medicine
1518054626,1359,1518054626,SUSAN KROOP,Allopathic & Osteopathic Physicians,Internal Medicine,Rheumatology,1568551455,NASHVILLE GENERAL HOSPITAL,17,50,0.0,0.0,Rheumatology
1518054626,1359,1518054626,SUSAN KROOP,Allopathic & Osteopathic Physicians,Internal Medicine,Rheumatology,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,327,685,0.947,6.872,Rheumatology
